species keyTimepoint shared n pctPopulations
Akkermansia_muciniphila_55290 final FALSE 3 0.75
Akkermansia_muciniphila_55290 final TRUE 1 0.25
Akkermansia_muciniphila_55290 initial FALSE 2 0.666666666666667
Akkermansia_muciniphila_55290 initial TRUE 1 0.333333333333333
Akkermansia_muciniphila_55290 post-abx FALSE 1 0.5
Akkermansia_muciniphila_55290 post-abx TRUE 1 0.5
Akkermansia_muciniphila_55290 pre-abx FALSE 1 1
Alistipes_finegoldii_56071 initial TRUE 1 1
Alistipes_finegoldii_56071 post-abx TRUE 1 1
Alistipes_finegoldii_56071 pre-abx FALSE 1 0.5
Alistipes_finegoldii_56071 pre-abx TRUE 1 0.5
Alistipes_onderdonkii_55464 final FALSE 3 0.75
Alistipes_onderdonkii_55464 final TRUE 1 0.25
Alistipes_onderdonkii_55464 initial FALSE 3 0.75
Alistipes_onderdonkii_55464 initial TRUE 1 0.25
Alistipes_onderdonkii_55464 post-abx FALSE 3 0.75
Alistipes_onderdonkii_55464 post-abx TRUE 1 0.25
Alistipes_onderdonkii_55464 pre-abx FALSE 2 0.333333333333333
Alistipes_onderdonkii_55464 pre-abx TRUE 4 0.666666666666667
Alistipes_putredinis_61533 final FALSE 6 0.666666666666667
Alistipes_putredinis_61533 final TRUE 3 0.333333333333333
Alistipes_putredinis_61533 initial FALSE 11 0.785714285714286
Alistipes_putredinis_61533 initial TRUE 3 0.214285714285714
Alistipes_putredinis_61533 post-abx FALSE 3 1
Alistipes_putredinis_61533 pre-abx FALSE 10 0.769230769230769
Alistipes_putredinis_61533 pre-abx TRUE 3 0.230769230769231
Alistipes_shahii_62199 final FALSE 1 1
Alistipes_shahii_62199 initial FALSE 7 1
Alistipes_shahii_62199 post-abx FALSE 1 1
Alistipes_shahii_62199 pre-abx FALSE 4 1
Anaerostipes_hadrus_55206 final FALSE 13 0.8125
Anaerostipes_hadrus_55206 final TRUE 3 0.1875
Anaerostipes_hadrus_55206 initial FALSE 9 0.75
Anaerostipes_hadrus_55206 initial TRUE 3 0.25
Anaerostipes_hadrus_55206 post-abx FALSE 8 0.888888888888889
Anaerostipes_hadrus_55206 post-abx TRUE 1 0.111111111111111
Anaerostipes_hadrus_55206 pre-abx FALSE 9 0.818181818181818
Anaerostipes_hadrus_55206 pre-abx TRUE 2 0.181818181818182
Bacteroidales_bacterium_58650 final FALSE 2 1
Bacteroidales_bacterium_58650 initial FALSE 1 1
Bacteroidales_bacterium_58650 pre-abx FALSE 2 0.5
Bacteroidales_bacterium_58650 pre-abx TRUE 2 0.5
Bacteroides_caccae_53434 final FALSE 1 0.25
Bacteroides_caccae_53434 final TRUE 3 0.75
Bacteroides_caccae_53434 initial FALSE 4 0.666666666666667
Bacteroides_caccae_53434 initial TRUE 2 0.333333333333333
Bacteroides_caccae_53434 post-abx FALSE 3 0.6
Bacteroides_caccae_53434 post-abx TRUE 2 0.4
Bacteroides_caccae_53434 pre-abx FALSE 5 0.714285714285714
Bacteroides_caccae_53434 pre-abx TRUE 2 0.285714285714286
Bacteroides_cellulosilyticus_58046 final FALSE 1 0.5
Bacteroides_cellulosilyticus_58046 final TRUE 1 0.5
