"species_id" "prevalence" "medianAbundance" "meanAbundance" "maxAbundance"
"1" "Bacteroides_ovatus_58035" 0.982532751091703 0.0268542869391289 0.0619482064314089 0.459215969428521
"2" "Blautia_wexlerae_56130" 0.982532751091703 0.00130243930570928 0.00289507570508228 0.078604920587061
"3" "Oscillospiraceae_bacterium_54867" 0.982532751091703 0.00237052281078305 0.00429522112712847 0.0776299865530347
"4" "Bacteroides_xylanisolvens_57185" 0.978165938864629 0.00976855182894886 0.0278931677981119 0.497367842118664
"5" "Bacteroides_vulgatus_57955" 0.973799126637555 0.156875578692853 0.192315118557037 0.826376825566327
"6" "Subdoligranulum_sp_62068" 0.96943231441048 0.000748788227715913 0.00341039453084272 0.177662744745697
"7" "Bacteroides_acidifaciens_59693" 0.965065502183406 0.000990826541090102 0.00181384633869807 0.0155993818911111
"8" "Bacteroides_sartorii_54642" 0.956331877729258 0.00107205606794692 0.00211443016139419 0.106558769949486
"9" "Eubacterium_rectale_56927" 0.947598253275109 0.0101336858162611 0.0230378189872423 0.174968255457202
"10" "Clostridiales_bacterium_56470" 0.943231441048035 0.000488097734289148 0.00193200901252155 0.0366737624875247
"11" "Faecalibacterium_cf_62236" 0.938864628820961 0.00356813771204222 0.00946755991200197 0.130883027599399
"12" "Bacteroides_uniformis_57318" 0.934497816593886 0.0567949194828319 0.0750893213460297 0.29439252002234
"13" "Bacteroides_rodentium_59708" 0.925764192139738 0.0169238994009911 0.0206940299608696 0.0762441294167174
"14" "Faecalibacterium_prausnitzii_62201" 0.921397379912664 0.00280087512211408 0.00622832557326605 0.107590339960691
"15" "Anaerostipes_hadrus_55206" 0.908296943231441 0.000386038576717705 0.0013333068967324 0.05439635968331
"16" "Dorea_formicigenerans_56346" 0.88646288209607 0.000525547827245049 0.00105061583961252 0.0122343792638983
"17" "Clostridium_leptum_61499" 0.877729257641921 0.000241476400504801 0.00117301932085989 0.0561317143070907
"18" "Bacteroides_thetaiotaomicron_56941" 0.873362445414847 0.0125260978615334 0.0236195663139308 0.284811929985033
"19" "Roseburia_inulinivorans_61943" 0.873362445414847 0.00118965589720154 0.00356293947396992 0.0260577785318798
"20" "Ruminococcus_sp_55468" 0.873362445414847 0.000340954783608919 0.000817861204239658 0.0227300371044784
"21" "Faecalibacterium_prausnitzii_57453" 0.851528384279476 0.00429147702692029 0.0105632576353258 0.133615409147195
"22" "Faecalibacterium_prausnitzii_61481" 0.847161572052402 0.00237473693007813 0.00606726772351137 0.0581937057023121
"23" "Alistipes_putredinis_61533" 0.842794759825327 0.0638951357231912 0.0701271182402955 0.246848158761836
"24" "Eubacterium_hallii_61477" 0.842794759825327 0.000170727465654585 0.000525770595446083 0.00595885384329158
"25" "Roseburia_hominis_61877" 0.838427947598253 0.000560744239379226 0.00173765961344542 0.0230629942806828
"26" "Clostridiales_bacterium_61057" 0.829694323144105 0.000221516798521763 0.000557981975666752 0.0180145088809892
"27" "Lachnospiraceae_bacterium_51870" 0.829694323144105 0.000853951022379577 0.00422572904414054 0.0734924608136256
"28" "Ruminococcus_obeum_61472" 0.829694323144105 0.000280265824854643 0.0006373997047695 0.0158134224113706
"29" "Parabacteroides_distasonis_56985" 0.825327510917031 0.0125422953844865 0.0251962573939857 0.471681184614389
"30" "Ruminococcus_torques_62045" 0.825327510917031 0.000934922356167471 0.0019765132380902 0.0233336793987617
"31" "Bacteroides_finegoldii_57739" 0.816593886462882 0.000881156183717678 0.00955463495302929 0.363732450503107
"32" "Alistipes_shahii_62199" 0.812227074235808 0.0140992045838508 0.0223546828053011 0.311467795242537
"33" "Eubacterium_eligens_61678" 0.807860262008734 0.00243738961721252 0.00601866418250914 0.0585256735081516
"34" "Bacteroides_caccae_53434" 0.803493449781659 0.0138699465299233 0.0324341009649272 0.47240232306078
"35" "Bacteroides_faecis_58503" 0.799126637554585 0.000318173832686385 0.00805181391869124 0.212872767250616
"36" "Roseburia_intestinalis_56239" 0.799126637554585 0.00125549956616047 0.00400158455201616 0.043178593940345
