"subject" "species_id" "maxAbundance" "maxAbundanceMain"
"XAA" "Alistipes_onderdonkii_55464" 0.151009369371 0.151009369371
"XAA" "Anaerostipes_hadrus_55206" 0.00507199057037 0.00507199057037
"XAA" "Bacteroides_caccae_53434" 0.0700732750431 0.0700732750431
"XAA" "Bacteroides_cellulosilyticus_58046" 0.00422912320048 0.00422912320048
"XAA" "Bacteroides_faecis_58503" 0.0933094606853 0.0933094606853
"XAA" "Bacteroides_finegoldii_57739" 0.323743502526 0.323743502526
"XAA" "Bacteroides_fragilis_54507" 0.00685690281189 0.00685690281189
"XAA" "Bacteroides_intestinalis_61596" 0.0107731949155 0.0107731949155
"XAA" "Bacteroides_nordii_55557" 0.0305878042066 0.0305878042066
"XAA" "Bacteroides_ovatus_58035" 0.0774116573872 0.0774116573872
"XAA" "Bacteroides_rodentium_59708" 0.0625426908449 0.0625426908449
"XAA" "Bacteroides_thetaiotaomicron_56941" 0.00133369065317 0.00133369065317
"XAA" "Bacteroides_uniformis_57318" 0.146662576116 0.146662576116
"XAA" "Bacteroides_vulgatus_57955" 0.391474629648 0.391474629648
"XAA" "Bacteroides_xylanisolvens_57185" 0.0217189594717 0.0217189594717
"XAA" "Bifidobacterium_adolescentis_56815" 0.012660429778 0.012660429778
"XAA" "Bifidobacterium_longum_57796" 0.0101593264128 0.0101593264128
"XAA" "Bilophila_wadsworthia_57364" 0.0125051700074 0.0125051700074
"XAA" "Blautia_hansenii_56031" 0.00165518756013 0.00165518756013
"XAA" "Blautia_wexlerae_56130" 0.0112394748866 0.0112394748866
"XAA" "Clostridiaceae_bacterium_58376" 0.00292113298656 0.00292113298656
"XAA" "Clostridiales_bacterium_55367" 0.00259650876849 0.00259650876849
"XAA" "Clostridiales_bacterium_56470" 0.00593703826204 0.00593703826204
"XAA" "Clostridiales_bacterium_61057" 0.0152517187641 0.0152517187641
"XAA" "Clostridium_bolteae_57158" 0.00181804376098 0.00181804376098
"XAA" "Clostridium_clostridioforme_51842" 0.00108440776292 0.00108440776292
"XAA" "Dorea_formicigenerans_56346" 0.00119086973635 0.00119086973635
"XAA" "Dorea_longicatena_59913" 0.00186703426592 0.00186703426592
"XAA" "Eggerthella_lenta_56463" 0.00176132529619 0.00176132529619
"XAA" "Eubacterium_rectale_56927" 0.117171477438 0.117171477438
"XAA" "Eubacterium_sulci_62452" 0.00191500896872 0.00191500896872
"XAA" "Eubacterium_ventriosum_61474" 0.0060862010356 0.0060862010356
"XAA" "Faecalibacterium_cf_62236" 0.0172708889616 0.0172708889616
"XAA" "Faecalibacterium_prausnitzii_57453" 0.0436297327617 0.0436297327617
"XAA" "Faecalibacterium_prausnitzii_62201" 0.0143092680772 0.0143092680772
"XAA" "Guyana_massiliensis_60772" 0.0131632768122 0.0131632768122
"XAA" "Holdemania_sp_59514" 0.00158542391475 0.00158542391475
"XAA" "Lachnospiraceae_bacterium_51870" 0.00512516012333 0.00512516012333
"XAA" "Lachnospiraceae_bacterium_56275" 0.00313900612351 0.00313900612351
"XAA" "Lachnospiraceae_bacterium_62050" 0.00190847532758 0.00190847532758
"XAA" "Oscillospiraceae_bacterium_54867" 0.00239174325327 0.00239174325327
"XAA" "Parabacteroides_distasonis_56985" 0.0218979183275 0.0218979183275
"XAA" "Parabacteroides_merdae_56972" 0.0284036954786 0.0284036954786
"XAA" "Phascolarctobacterium_sp_59817" 0.0243673686065 0.0243673686065
"XAA" "Roseburia_inulinivorans_61943" 0.0450679977908 0.0450679977908
"XAA" "Ruminococcus_bicirculans_59300" 0.00318012368297 0.00318012368297
"XAA" "Ruminococcus_obeum_61472" 0.00729060369023 0.00729060369023
"XAA" "Ruminococcus_sp_55468" 0.0047203574181 0.0047203574181
"XAA" "Ruminococcus_torques_62045" 0.00513831613817 0.00513831613817
"XBA" "Alistipes_finegoldii_56071" 0.0792187884364 0.0792187884364
"XBA" "Anaerostipes_hadrus_55206" 0.0135462143928 0.0135462143928
